"","Construction","Russian","Arabic","Guarani","Estonian","Tsaxur","Tuvan","Ingerm","Basque","French","German","Bagwalal","Japanese","Lithuanian","Kalmyk","Khmer","Bashkir","Latvian","Guro","Looma","Lezgi","GreekModern","GreekAncientr","Albanian","Spanish","Irish","Armenian","Azerbaijani","RomaniKalderash","English","MandarinChinese","Polish","Dutch","Italian","Komi.Zyrian","Ossetic","Serbian","Chukchee","NorwegianBokmål"
"34","know","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"35","play#instrument#","intr","intr","unknown","intr","tr","intr","intr","tr","intr","intr","unknown","tr","intr","tr","tr","intr","tr","tr","tr","tr","tr","unknown","intr","tr","tr","intr","unknown","intr","tr","tr","intr","tr","tr","intr","intr","tr","unknown","intr"
"36","avoid","intr","tr","unknown","intr","unknown","intr","intr","intr","tr","tr","unknown","tr","intr","tr","unknown","intr","intr","intr","tr","intr","tr","tr","intr","tr","tr","intr","intr","intr","tr","tr","intr","tr","tr","intr","intr","tr","tr","tr"
"37","make","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"38","make_fun","intr","intr","unknown","intr","unknown","tr","tr","intr","intr","intr","unknown","tr","intr","tr","unknown","intr","intr","unknown","intr","intr","tr","tr","intr","intr","tr","tr","tr","unknown","tr","tr","intr","tr","tr","intr","intr","tr","intr","tr"
"39","have","intr","intr","tr","unknown","unknown","intr","intr","tr","tr","tr","unknown","tr","tr","intr","tr","intr","intr","intr","intr","intr","tr","tr","tr","tr","intr","tr","intr","intr","tr","tr","tr","tr","tr","intr","intr","tr","intr","tr"
"40","look_for","tr","intr","tr","intr","tr","tr","intr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","intr","tr","tr","tr","tr","tr","tr","intr"
"41","paintr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","intr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"42","bite","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","intr","tr","tr","tr","intr","intr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","intr","tr","tr","tr"
"43","forfeitr","intr","tr","unknown","intr","unknown","intr","tr","tr","intr","tr","unknown","tr","intr","intr","unknown","intr","tr","intr","intr","intr","unknown","intr","tr","tr","tr","intr","tr","tr","tr","tr","tr","unknown","unknown","intr","intr","unknown","unknown","tr"
"44","try_to_catch","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","unknown","unknown","tr","tr","tr","unknown","tr","tr","unknown","unknown","unknown","tr","tr","tr","tr"
"45","break","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"46","flatter","intr","tr","tr","unknown","unknown","intr","unknown","tr","tr","intr","unknown","intr","intr","unknown","tr","intr","intr","unknown","unknown","intr","tr","tr","intr","tr","unknown","intr","intr","unknown","tr","tr","intr","tr","tr","intr","intr","intr","intr","tr"
"47","love1","tr","tr","tr","intr","intr","intr","intr","tr","tr","tr","intr","unknown","tr","tr","tr","tr","tr","unknown","intr","intr","tr","tr","tr","tr","intr","tr","tr","intr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr"
"48","wave","intr","intr","unknown","intr","unknown","intr","intr","tr","tr","tr","tr","tr","intr","intr","tr","tr","intr","tr","tr","tr","intr","tr","tr","tr","tr","intr","intr","intr","tr","tr","intr","intr","tr","intr","intr","intr","intr","intr"
"49","dream","intr","intr","unknown","intr","unknown","intr","intr","tr","intr","intr","unknown","tr","intr","unknown","intr","intr","unknown","unknown","unknown","intr","tr","intr","intr","intr","intr","intr","unknown","unknown","intr","tr","intr","intr","tr","unknown","intr","intr","tr","intr"
"50","wash","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"51","put_on","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"52","be_called","intr","intr","intr","intr","unknown","intr","intr","intr","tr","intr","intr","intr","intr","unknown","unknown","intr","intr","unknown","unknown","intr","intr","unknown","intr","intr","intr","intr","tr","intr","unknown","tr","intr","unknown","unknown","intr","intr","intr","intr","tr"
